FORECAST DATE: 08/18/2025 @8AM,,,,,,,,,,
"Valid : Aug 18 - 27, 2025",,,,,,,,,,
Source: NOAAH Global Forecast System (GFS),,,,,,,,,,
,,,10-DAY WEATHER OUTLOOK FOR FARM OPERATIONS,,,,,,,
,,,,,,,,,,
,,26-Aug,,,,,,,,
,Municipalities,Ave. Temperature (°C) ,,,Rainfall(mm/day),,Total Cloud Cover,Rel. Humidity (%),Wind ,
,,Min,Max,Mean,Total,Description,Description,Mean,Mean Speed (mps),Mean Direction
,Adams (Ilocos Norte),20,27,24,<60,LIGHT RAINS,CLOUDY,91,2,NW
,Bacarra (Ilocos Norte),23,28,25,<60,LIGHT RAINS,CLOUDY,84,1,NNW
,Badoc (Ilocos Norte),22,28,25,<60,LIGHT RAINS,CLOUDY,91,1,WNW
,Bangui (Ilocos Norte),22,28,25,<60,LIGHT RAINS,CLOUDY,85,2,NNW
,City of Batac (Ilocos Norte),22,27,25,<60,LIGHT RAINS,CLOUDY,87,2,NW
,Burgos (Ilocos Norte),23,28,25,<60,LIGHT RAINS,CLOUDY,82,2,NNW
,Carasi (Ilocos Norte),19,26,23,<60,LIGHT RAINS,CLOUDY,95,1,WSW
,Currimao (Ilocos Norte),23,28,26,<60,LIGHT RAINS,CLOUDY,86,2,WNW
,Dingras (Ilocos Norte),20,27,23,<60,LIGHT RAINS,CLOUDY,90,1,WSW
,Dumalneg (Ilocos Norte),21,27,24,<60,LIGHT RAINS,CLOUDY,88,2,NNW
,Banna (Ilocos Norte),21,27,24,<60,LIGHT RAINS,CLOUDY,90,1,NW
,City of Laoag (Ilocos Norte),22,28,25,<60,LIGHT RAINS,CLOUDY,85,2,NW
,Marcos (Ilocos Norte),21,27,24,<60,LIGHT RAINS,CLOUDY,90,1,W
,Nueva Era (Ilocos Norte),18,27,23,<60,LIGHT RAINS,CLOUDY,95,1,S
,Pagudpud (Ilocos Norte),21,28,25,<60,LIGHT RAINS,CLOUDY,86,3,NW
,Paoay (Ilocos Norte),24,28,26,<60,LIGHT RAINS,CLOUDY,85,2,WNW
,Pasuquin (Ilocos Norte),22,28,25,<60,LIGHT RAINS,CLOUDY,84,1,NNW
,Piddig (Ilocos Norte),20,27,23,<60,LIGHT RAINS,CLOUDY,90,1,W
,Pinili (Ilocos Norte),22,28,25,<60,LIGHT RAINS,CLOUDY,89,2,NW
,San Nicolas (Ilocos Norte),23,27,25,<60,LIGHT RAINS,CLOUDY,85,2,NW
,Sarrat (Ilocos Norte),22,27,24,<60,LIGHT RAINS,CLOUDY,86,1,NNW
,Solsona (Ilocos Norte),19,27,23,<60,LIGHT RAINS,CLOUDY,93,1,S
,Vintar (Ilocos Norte),19,27,23,<60,LIGHT RAINS,CLOUDY,90,1,NNW
,Alilem (Ilocos Sur),17,24,20,<60,LIGHT RAINS,CLOUDY,94,1,NNW
,Banayoyo (Ilocos Sur),21,26,24,<60,LIGHT RAINS,CLOUDY,94,1,NW
,Bantay (Ilocos Sur),23,28,26,<60,LIGHT RAINS,CLOUDY,94,1,W
,Burgos (Ilocos Sur),21,27,24,<60,LIGHT RAINS,CLOUDY,94,1,NW
,Cabugao (Ilocos Sur),22,27,25,<60,LIGHT RAINS,CLOUDY,95,1,NW
,City of Candon (Ilocos Sur),21,27,24,<60,LIGHT RAINS,CLOUDY,94,1,NW
,Caoayan (Ilocos Sur),24,28,26,<60,LIGHT RAINS,CLOUDY,93,2,W
,Cervantes (Ilocos Sur),16,23,20,<60,LIGHT RAINS,CLOUDY,93,1,NNW
,Galimuyod (Ilocos Sur),20,26,23,<60,LIGHT RAINS,CLOUDY,93,1,NW
,Gregorio del Pilar (Ilocos Sur),19,24,22,<60,LIGHT RAINS,CLOUDY,92,1,NW
,Lidlidda (Ilocos Sur),21,26,23,<60,LIGHT RAINS,CLOUDY,94,1,NW
,Magsingal (Ilocos Sur),23,28,25,<60,LIGHT RAINS,CLOUDY,95,1,WNW
,Nagbukel (Ilocos Sur),22,27,24,<60,LIGHT RAINS,CLOUDY,94,1,WNW
,Narvacan (Ilocos Sur),22,28,25,<60,LIGHT RAINS,CLOUDY,94,1,WNW
,Quirino (Ilocos Sur),17,23,20,<60,LIGHT RAINS,CLOUDY,93,1,NNW
,Salcedo (Ilocos Sur),20,25,23,<60,LIGHT RAINS,CLOUDY,93,1,NW
,San Emilio (Ilocos Sur),19,25,22,<60,LIGHT RAINS,CLOUDY,93,1,NW
,San Esteban (Ilocos Sur),22,27,25,<60,LIGHT RAINS,CLOUDY,94,1,WNW
,San Ildefonso (Ilocos Sur),24,28,26,<60,LIGHT RAINS,CLOUDY,94,1,W
,San Juan (Ilocos Sur),23,27,25,<60,LIGHT RAINS,CLOUDY,95,1,WNW
,San Vicente (Ilocos Sur),24,28,26,<60,LIGHT RAINS,CLOUDY,93,2,W
,Santa (Ilocos Sur),23,28,26,<60,LIGHT RAINS,CLOUDY,94,1,W
,Santa Catalina (Ilocos Sur),24,28,26,<60,LIGHT RAINS,CLOUDY,92,2,W
,Santa Cruz (Ilocos Sur),21,26,23,<60,LIGHT RAINS,CLOUDY,93,1,NW
,Santa Lucia (Ilocos Sur),21,26,24,<60,LIGHT RAINS,CLOUDY,93,1,NW
